# What the collective payload demands of the interconnect, computed rather than estimated.
#
#   python comms.py --config sweep-consistent.yaml --json comms-consistent.json
#   python bandwidth.py --comms comms-consistent.json --results results-consistent
#
# Bytes from the compiled HLO on 8 simulated CPU devices; payload is a property of the
# program, not the hardware. Generation times from the 2026-08-14 sweep on 8 x A100-SXM4-80GB,
# commit 5769751. Both halves now come from the same commit, which was not true before.
#
results-consistent: NVIDIA A100-SXM4-80GB
96 multi-device configurations matched; 0 in the comms table had no timing

     d     N  strategy          how  D   bytes/gen   ms/gen     GB/s  % NVLink
  2048   128  lowrank_r1          B  8 100,663,808    12.70    7.928     1.32%
  2048   128  mirrored_lr1        B  8 100,663,808    12.99    7.748     1.29%
  2048   128  lowrank_r1          B  4 100,663,808    19.02    5.293     0.88%
  2048   256  lowrank_r1          B  8 100,664,320    19.93    5.052     0.84%
  2048   128  mirrored_lr1        B  4 100,663,808    20.48    4.915     0.82%
  2048   256  mirrored_lr1        B  8 100,664,320    21.28    4.730     0.79%
  2048   128  iid_gaussian        B  8 100,663,808    25.83    3.897     0.65%
  2048   128  lowrank_r1          B  2 100,663,808    33.44    3.010     0.50%
  2048   128  mirrored_lr1        B  2 100,663,808    33.87    2.972     0.50%
  2048   256  lowrank_r1          B  4 100,664,320    34.14    2.949     0.49%

most demanding: d=2048 N=128 lowrank_r1/B at D=8
  7.928 GB/s, 1.32% of an A100's ~600 GB/s NVLink
